Satis Elemani Kodu;Код Контрагента;Контрагент;Ziyaret Gunu
BAH001;120.01.110.0300;MAVLONOVICH GROUP;Sali
BAH001;120.01.110.0591;MCHJ ASSARTI DISCOUNT MARKET (YUNUSOBOD);Sali
BAH001;120.01.107.0002;MOTABAR MARKET;Sali
BAH001;120.01.104.0937; IDEAL FUTURE TRADE MCHJ (ABDULLAEV QAXRAMON 12 05);Sali
BAH001;120.01.101.0268;WELL-LUX-TRADE;Sali
BAH001;120.01.101.0034;MEHR MAKS SERVIS MCHJ;Sali
BAH001;120.01.101.0474;BALLI 20 MARKET;Sali
BAH001;120.01.101.0271;SIROJ BIZNES XK;Sali
BAH001;120.01.101.0173;ALO ANVARA BIZNESS MCHJ;Sali
BAH001;120.01.108.0257;BALANC CITY MCHJ;Sali
BAH001;120.01.108.0035;DIYONAT HAMKOR SERVIS XK;Sali
BAH001;120.01.108.0165;JAVOHIR FAYZ XAMKOR (03 09) / (MUBORAK TUXFA MCHJ);Sali
BAH001;120.01.108.0333;TRADE MART GROUP MCHJ;Sali
BAH001;120.01.107.0029;ASSORTI-GROUP XK;Sali
BAH001;120.01.107.0206;AZIZ XIDOYAT MCHJ;Sali
BAH001;120.01.107.0208;DILOROM XIDOYAT MCHJ;Sali
BAH001;120.01.107.0215;EASY COMMUNICATION MCHJ;Sali
BAH001;120.01.107.0118;NOBLE GROUP MCHJ;Sali
BAH001;120.01.110.1048;ZUFAROVA GULNOZA ZIKRILLAEVNA;Sali
BAH001;120.01.110.0352;MAHMUDOVICH GROUP MCHJ;Sali
BAH001;120.01.070.0013;CIFRA B MCHJ;Sali
BAH001;120.01.108.0276;GOOD CORN PRODUCTS;Carsamba
BAH001;120.01.110.0363;CHAYKA SHOP MCHJ;Carsamba
BAH001;120.01.101.0152;SHOAFZAL NUR SAVDO MCHZH.;Carsamba
BAH001;120.01.110.0052;SHOSH TRADE 70 MCHJ;Carsamba
BAH001;120.01.110.0362;IMMOBIL TRADE GROUP XK;Carsamba
BAH001;120.01.110.0316;E-MAKAUS TRADE;Carsamba
BAH001;120.01.110.1015;MAHALLA9O MCHJ;Carsamba
BAH001;120.01.110.0326;SARVAR BIZNES SAVDO MCHJ;Carsamba
BAH001;120.01.106.0600;HAPPY BEAN SUPERMARKET;Carsamba
BAH001;120.01.110.0048;NASRIDDIN SAVDO BIZNES MCHJ;Carsamba
BAH001;120.01.110.0300;MAVLONOVICH GROUP;Carsamba
BAH001;120.01.110.0591;MCHJ ASSARTI DISCOUNT MARKET (YUNUSOBOD);Carsamba
BAH001;120.01.107.0002;MOTABAR MARKET;Carsamba
BAH001;120.01.104.0937; IDEAL FUTURE TRADE MCHJ (ABDULLAEV QAXRAMON 12 05);Carsamba
BAH001;120.01.101.0268;WELL-LUX-TRADE;Carsamba
BAH001;120.01.101.0034;MEHR MAKS SERVIS MCHJ;Carsamba
BAH001;120.01.101.0474;BALLI 20 MARKET;Carsamba
BAH001;120.01.101.0271;SIROJ BIZNES XK;Carsamba
BAH001;120.01.101.0173;ALO ANVARA BIZNESS MCHJ;Carsamba
BAH001;120.01.108.0257;BALANC CITY MCHJ;Carsamba
BAH001;120.01.108.0035;DIYONAT HAMKOR SERVIS XK;Carsamba
BAH001;120.01.108.0165;JAVOHIR FAYZ XAMKOR (03 09) / (MUBORAK TUXFA MCHJ);Carsamba
BAH001;120.01.108.0333;TRADE MART GROUP MCHJ;Carsamba
BAH001;120.01.107.0029;ASSORTI-GROUP XK;Carsamba
BAH001;120.01.107.0206;AZIZ XIDOYAT MCHJ;Carsamba
BAH001;120.01.107.0208;DILOROM XIDOYAT MCHJ;Carsamba
BAH001;120.01.107.0215;EASY COMMUNICATION MCHJ;Carsamba
BAH001;120.01.107.0118;NOBLE GROUP MCHJ;Carsamba
BAH001;120.01.110.1048;ZUFAROVA GULNOZA ZIKRILLAEVNA;Carsamba
BAH001;120.01.110.0352;MAHMUDOVICH GROUP MCHJ;Carsamba
BAH001;120.01.070.0013;CIFRA B MCHJ;Carsamba
BAH001;120.01.108.0276;GOOD CORN PRODUCTS;Persembe
BAH001;120.01.110.0363;CHAYKA SHOP MCHJ;Persembe
BAH001;120.01.101.0152;SHOAFZAL NUR SAVDO MCHZH.;Persembe
BAH001;120.01.110.0052;SHOSH TRADE 70 MCHJ;Persembe
BAH001;120.01.110.0362;IMMOBIL TRADE GROUP XK;Persembe
BAH001;120.01.110.0316;E-MAKAUS TRADE;Persembe
BAH001;120.01.110.1015;MAHALLA9O MCHJ;Persembe
BAH001;120.01.110.0326;SARVAR BIZNES SAVDO MCHJ;Persembe
BAH001;120.01.106.0600;HAPPY BEAN SUPERMARKET;Persembe
BAH001;120.01.110.0048;NASRIDDIN SAVDO BIZNES MCHJ;Persembe
BAH001;120.01.110.0300;MAVLONOVICH GROUP;Persembe
BAH001;120.01.110.0591;MCHJ ASSARTI DISCOUNT MARKET (YUNUSOBOD);Persembe
BAH001;120.01.107.0002;MOTABAR MARKET;Persembe
BAH001;120.01.104.0937; IDEAL FUTURE TRADE MCHJ (ABDULLAEV QAXRAMON 12 05);Persembe
BAH001;120.01.101.0268;WELL-LUX-TRADE;Persembe
BAH001;120.01.101.0034;MEHR MAKS SERVIS MCHJ;Persembe
BAH001;120.01.101.0474;BALLI 20 MARKET;Persembe
BAH001;120.01.101.0271;SIROJ BIZNES XK;Persembe
BAH001;120.01.101.0173;ALO ANVARA BIZNESS MCHJ;Persembe
BAH001;120.01.108.0257;BALANC CITY MCHJ;Persembe
BAH001;120.01.108.0035;DIYONAT HAMKOR SERVIS XK;Persembe
BAH001;120.01.108.0165;JAVOHIR FAYZ XAMKOR (03 09) / (MUBORAK TUXFA MCHJ);Persembe
BAH001;120.01.108.0333;TRADE MART GROUP MCHJ;Persembe
BAH001;120.01.107.0029;ASSORTI-GROUP XK;Persembe
BAH001;120.01.107.0206;AZIZ XIDOYAT MCHJ;Persembe
BAH001;120.01.107.0208;DILOROM XIDOYAT MCHJ;Persembe
BAH001;120.01.107.0215;EASY COMMUNICATION MCHJ;Persembe
BAH001;120.01.107.0118;NOBLE GROUP MCHJ;Persembe
BAH001;120.01.110.1048;ZUFAROVA GULNOZA ZIKRILLAEVNA;Persembe
BAH001;120.01.110.0352;MAHMUDOVICH GROUP MCHJ;Persembe
BAH001;120.01.070.0013;CIFRA B MCHJ;Persembe
BAH001;120.01.108.0276;GOOD CORN PRODUCTS;Cuma
BAH001;120.01.110.0363;CHAYKA SHOP MCHJ;Cuma
BAH001;120.01.101.0152;SHOAFZAL NUR SAVDO MCHZH.;Cuma
BAH001;120.01.110.0052;SHOSH TRADE 70 MCHJ;Cuma
BAH001;120.01.110.0362;IMMOBIL TRADE GROUP XK;Cuma
BAH001;120.01.110.0316;E-MAKAUS TRADE;Cuma
BAH001;120.01.110.1015;MAHALLA9O MCHJ;Cuma
BAH001;120.01.110.0326;SARVAR BIZNES SAVDO MCHJ;Cuma
BAH001;120.01.106.0600;HAPPY BEAN SUPERMARKET;Cuma
BAH001;120.01.110.0048;NASRIDDIN SAVDO BIZNES MCHJ;Cuma
BAH001;120.01.110.0300;MAVLONOVICH GROUP;Cuma
BAH001;120.01.110.0591;MCHJ ASSARTI DISCOUNT MARKET (YUNUSOBOD);Cuma
BAH001;120.01.107.0002;MOTABAR MARKET;Cuma
BAH001;120.01.104.0937; IDEAL FUTURE TRADE MCHJ (ABDULLAEV QAXRAMON 12 05);Cuma
BAH001;120.01.101.0268;WELL-LUX-TRADE;Cuma
BAH001;120.01.101.0034;MEHR MAKS SERVIS MCHJ;Cuma
BAH001;120.01.101.0474;BALLI 20 MARKET;Cuma
BAH001;120.01.101.0271;SIROJ BIZNES XK;Cuma
BAH001;120.01.101.0173;ALO ANVARA BIZNESS MCHJ;Cuma
BAH001;120.01.108.0257;BALANC CITY MCHJ;Cuma
BAH001;120.01.108.0035;DIYONAT HAMKOR SERVIS XK;Cuma
BAH001;120.01.108.0165;JAVOHIR FAYZ XAMKOR (03 09) / (MUBORAK TUXFA MCHJ);Cuma
BAH001;120.01.108.0333;TRADE MART GROUP MCHJ;Cuma
BAH001;120.01.107.0029;ASSORTI-GROUP XK;Cuma
BAH001;120.01.107.0206;AZIZ XIDOYAT MCHJ;Cuma
BAH001;120.01.107.0208;DILOROM XIDOYAT MCHJ;Cuma
BAH001;120.01.107.0215;EASY COMMUNICATION MCHJ;Cuma
BAH001;120.01.107.0118;NOBLE GROUP MCHJ;Cuma
BAH001;120.01.110.1048;ZUFAROVA GULNOZA ZIKRILLAEVNA;Cuma
BAH001;120.01.110.0352;MAHMUDOVICH GROUP MCHJ;Cuma
BAH001;120.01.070.0013;CIFRA B MCHJ;Cuma
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Pazartesi
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Pazartesi
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Pazartesi
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Pazartesi
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Pazartesi
BAH001;120.01.101.0376;GREEN TEAM XK;Pazartesi
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Pazartesi
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Pazartesi
BAH001;120.01.101.0376;GREEN TEAM XK;Pazartesi
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Pazartesi
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Pazartesi
BAH001;120.01.101.0376;GREEN TEAM XK;Pazartesi
BAH001;120.01.106.0258;MAKON STORE MCHJ;Pazartesi
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Pazartesi
BAH001;120.01.101.0265;BIGMAG RETAIL MCHJ;Pazartesi
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Sali
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Sali
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Sali
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Sali
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Sali
BAH001;120.01.101.0376;GREEN TEAM XK;Sali
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Sali
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Sali
BAH001;120.01.101.0376;GREEN TEAM XK;Sali
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Sali
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Sali
BAH001;120.01.101.0376;GREEN TEAM XK;Sali
BAH001;120.01.106.0258;MAKON STORE MCHJ;Sali
BAH001;120.01.106.0258;MAKON STORE MCHJ;Sali
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Sali
BAH001;120.01.101.0265;BIGMAG RETAIL MCHJ;Sali
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Carsamba
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Carsamba
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Carsamba
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Carsamba
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Carsamba
BAH001;120.01.101.0376;GREEN TEAM XK;Carsamba
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Carsamba
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Carsamba
BAH001;120.01.101.0376;GREEN TEAM XK;Carsamba
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Carsamba
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Carsamba
BAH001;120.01.101.0376;GREEN TEAM XK;Carsamba
BAH001;120.01.106.0258;MAKON STORE MCHJ;Carsamba
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Carsamba
BAH001;120.01.101.0265;BIGMAG RETAIL MCHJ;Carsamba
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Persembe
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Persembe
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Persembe
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Persembe
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Persembe
BAH001;120.01.101.0376;GREEN TEAM XK;Persembe
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Persembe
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Persembe
BAH001;120.01.101.0376;GREEN TEAM XK;Persembe
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Persembe
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Persembe
BAH001;120.01.101.0376;GREEN TEAM XK;Persembe
BAH001;120.01.106.0258;MAKON STORE MCHJ;Persembe
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Persembe
BAH001;120.01.101.0265;BIGMAG RETAIL MCHJ;Persembe
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Cuma
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Cuma
BAH001;120.01.110.0290;XAYRULLA OTA FARZANDLARI XK;Cuma
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Cuma
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Cuma
BAH001;120.01.101.0376;GREEN TEAM XK;Cuma
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Cuma
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Cuma
BAH001;120.01.101.0376;GREEN TEAM XK;Cuma
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Cuma
BAH001;120.01.101.0172;KARIMA-UMIDJON-MUHAMMADUMARJON BARAKA MCHJ;Cuma
BAH001;120.01.101.0376;GREEN TEAM XK;Cuma
BAH001;120.01.106.0258;MAKON STORE MCHJ;Cuma
BAH001;120.01.101.0101;IDEAL-FUTURE TRADE MULTI;Cuma
BAH001;120.01.101.0265;BIGMAG RETAIL MCHJ;Cuma
BAH001;120.01.101.0267;TRADE INVEST BARAKA MCHJ;Persembe
BAH001;120.01.101.0267;TRADE INVEST BARAKA MCHJ;Cuma
BAH001;120.01.101.0267;TRADE INVEST BARAKA MCHJ;Pazartesi
BAH001;120.01.101.0267;TRADE INVEST BARAKA MCHJ;Carsamba
BAH001;120.01.102.0958;PRESTIGE COMMUNALCHI MCHJ;Pazartesi
BAH001;120.01.102.0958;PRESTIGE COMMUNALCHI MCHJ;Sali
BAH001;120.01.102.0958;PRESTIGE COMMUNALCHI MCHJ;Carsamba
BAH001;120.01.102.0958;PRESTIGE COMMUNALCHI MCHJ;Persembe
BAH001;120.01.102.0958;PRESTIGE COMMUNALCHI MCHJ;Cuma
BAH001;120.01.109.0095;FLAVOR MCHJ;Persembe
BAH001;120.01.107.0724;M-BAZAR GROUP XK;Sali
BAH001;120.01.107.0724;M-BAZAR GROUP XK;Cuma
BAH001;120.01.107.0724;M-BAZAR GROUP XK;Pazartesi
BAH001;120.01.109.0095;FLAVOR MCHJ;Sali
BAH001;120.01.101.1001;DELTA MAX MCHJ;Persembe
BAH001;120.01.109.0095;FLAVOR MCHJ;Cuma
BAH001;120.01.101.1001;DELTA MAX MCHJ;Pazartesi
BAH001;120.01.110.0289;DIYOR MEGA CENTER;Pazartesi
BAH001;120.01.110.0289;DIYOR MEGA CENTER;Sali
BAH001;120.01.110.0289;DIYOR MEGA CENTER;Carsamba
BAH001;120.01.110.0289;DIYOR MEGA CENTER;Persembe
BAH001;120.01.110.0289;DIYOR MEGA CENTER;Cuma
BAH002;120.01.104.0003;ZIYOSAD SERVIS MCHJ;Pazartesi
BAH002;120.01.105.0003;VKUSNOM MARKET MCHJ;Pazartesi
BAH002;120.01.104.0853;SHUKRONA MCHJ;Pazartesi
BAH002;120.01.109.0003;ADAR ECONOMY GROUP;Pazartesi
BAH002;120.01.101.0898;SAXIY SOLIH BUSINESS MCHJ;Pazartesi
BAH002;120.01.103.0001;RAHMATJON OTA MCHJ;Pazartesi
BAH002;120.01.104.1182;FULL CART MCHJ;Pazartesi
BAH002;120.01.104.1133;TIIN OPTOM OOO (M.U);Pazartesi
BAH002;120.01.104.0005;FRUTTY XK;Pazartesi
BAH002;120.01.105.0002;RAHMATJON-HALOL-MARKET;Pazartesi
BAH002;120.01.102.0001;MUXTABAR SAVDO XK;Pazartesi
BAH002;120.01.103.0584;BEST QUALITY PRODUCTS (RC);Pazartesi
BAH002;120.01.104.1146;GREEN APPLE WORKING MCHJ;Pazartesi
BAH002;120.01.024.0006;OLMA (XALQ RETAIL) ORIMI;Pazartesi
BAH002;120.01.024.0009;OLMA (XALQ RETAIL) OMEGA;Pazartesi
BAH002;120.01.104.1144;AQUALON PLUS MCHJ (M.U);Pazartesi
BAH002;120.01.105.0001;ALIMBAYEV-TRADE-CENTRE MCHJ;Pazartesi
BAH002;120.01.103.0003;EDISON PREMIUM MARKET MCHJ;Pazartesi
BAH002;120.01.105.0003;VKUSNOM MARKET MCHJ;Sali
BAH002;120.01.104.0853;SHUKRONA MCHJ;Sali
BAH002;120.01.109.0003;ADAR ECONOMY GROUP;Sali
BAH002;120.01.101.0898;SAXIY SOLIH BUSINESS MCHJ;Sali
BAH002;120.01.103.0001;RAHMATJON OTA MCHJ;Sali
BAH002;120.01.104.1182;FULL CART MCHJ;Sali
BAH002;120.01.104.1133;TIIN OPTOM OOO (M.U);Sali
BAH002;120.01.104.0005;FRUTTY XK;Sali
BAH002;120.01.105.0002;RAHMATJON-HALOL-MARKET;Sali
BAH002;120.01.102.0001;MUXTABAR SAVDO XK;Sali
BAH002;120.01.103.0584;BEST QUALITY PRODUCTS (RC);Sali
BAH002;120.01.104.1146;GREEN APPLE WORKING MCHJ;Sali
BAH002;120.01.024.0006;OLMA (XALQ RETAIL) ORIMI;Sali
BAH002;120.01.024.0009;OLMA (XALQ RETAIL) OMEGA;Sali
BAH002;120.01.104.1144;AQUALON PLUS MCHJ (M.U);Sali
BAH002;120.01.105.0001;ALIMBAYEV-TRADE-CENTRE MCHJ;Sali
BAH002;120.01.103.0003;EDISON PREMIUM MARKET MCHJ;Sali
BAH002;120.01.105.0003;VKUSNOM MARKET MCHJ;Carsamba
BAH002;120.01.104.0853;SHUKRONA MCHJ;Carsamba
BAH002;120.01.109.0003;ADAR ECONOMY GROUP;Carsamba
BAH002;120.01.101.0898;SAXIY SOLIH BUSINESS MCHJ;Carsamba
BAH002;120.01.103.0001;RAHMATJON OTA MCHJ;Carsamba
BAH002;120.01.104.1182;FULL CART MCHJ;Carsamba
BAH002;120.01.104.1133;TIIN OPTOM OOO (M.U);Carsamba
BAH002;120.01.104.0005;FRUTTY XK;Carsamba
BAH002;120.01.105.0002;RAHMATJON-HALOL-MARKET;Carsamba
BAH002;120.01.102.0001;MUXTABAR SAVDO XK;Carsamba
BAH002;120.01.103.0584;BEST QUALITY PRODUCTS (RC);Carsamba
BAH002;120.01.104.1146;GREEN APPLE WORKING MCHJ;Carsamba
BAH002;120.01.024.0006;OLMA (XALQ RETAIL) ORIMI;Carsamba
BAH002;120.01.024.0009;OLMA (XALQ RETAIL) OMEGA;Carsamba
BAH002;120.01.104.1144;AQUALON PLUS MCHJ (M.U);Carsamba
BAH002;120.01.105.0001;ALIMBAYEV-TRADE-CENTRE MCHJ;Carsamba
BAH002;120.01.103.0003;EDISON PREMIUM MARKET MCHJ;Carsamba
BAH002;120.01.105.0003;VKUSNOM MARKET MCHJ;Persembe
BAH002;120.01.104.0853;SHUKRONA MCHJ;Persembe
BAH002;120.01.109.0003;ADAR ECONOMY GROUP;Persembe
BAH002;120.01.101.0898;SAXIY SOLIH BUSINESS MCHJ;Persembe
BAH002;120.01.103.0001;RAHMATJON OTA MCHJ;Persembe
BAH002;120.01.104.1182;FULL CART MCHJ;Persembe
BAH002;120.01.104.1133;TIIN OPTOM OOO (M.U);Persembe
BAH002;120.01.104.0005;FRUTTY XK;Persembe
BAH002;120.01.105.0002;RAHMATJON-HALOL-MARKET;Persembe
BAH002;120.01.102.0001;MUXTABAR SAVDO XK;Persembe
BAH002;120.01.103.0584;BEST QUALITY PRODUCTS (RC);Persembe
BAH002;120.01.104.1146;GREEN APPLE WORKING MCHJ;Persembe
BAH002;120.01.024.0006;OLMA (XALQ RETAIL) ORIMI;Persembe
BAH002;120.01.024.0009;OLMA (XALQ RETAIL) OMEGA;Persembe
BAH002;120.01.104.1144;AQUALON PLUS MCHJ (M.U);Persembe
BAH002;120.01.105.0001;ALIMBAYEV-TRADE-CENTRE MCHJ;Persembe
BAH002;120.01.103.0003;EDISON PREMIUM MARKET MCHJ;Persembe
BAH002;120.01.105.0003;VKUSNOM MARKET MCHJ;Cuma
BAH002;120.01.104.0853;SHUKRONA MCHJ;Cuma
BAH002;120.01.109.0003;ADAR ECONOMY GROUP;Cuma
BAH002;120.01.101.0898;SAXIY SOLIH BUSINESS MCHJ;Cuma
BAH002;120.01.103.0001;RAHMATJON OTA MCHJ;Cuma
BAH002;120.01.104.1182;FULL CART MCHJ;Cuma
BAH002;120.01.104.1133;TIIN OPTOM OOO (M.U);Cuma
BAH002;120.01.104.0005;FRUTTY XK;Cuma
BAH002;120.01.105.0002;RAHMATJON-HALOL-MARKET;Cuma
BAH002;120.01.102.0001;MUXTABAR SAVDO XK;Cuma
BAH002;120.01.103.0584;BEST QUALITY PRODUCTS (RC);Cuma
BAH002;120.01.104.1146;GREEN APPLE WORKING MCHJ;Cuma
BAH002;120.01.024.0006;OLMA (XALQ RETAIL) ORIMI;Cuma
BAH002;120.01.024.0009;OLMA (XALQ RETAIL) OMEGA;Cuma
BAH002;120.01.104.1144;AQUALON PLUS MCHJ (M.U);Cuma
BAH002;120.01.105.0001;ALIMBAYEV-TRADE-CENTRE MCHJ;Cuma
BAH002;120.01.103.0003;EDISON PREMIUM MARKET MCHJ;Cuma
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Pazartesi
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Pazartesi
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Pazartesi
BAH002;120.01.104.0004;BOBS MCHJ;Pazartesi
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Sali
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Sali
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Sali
BAH002;120.01.104.0004;BOBS MCHJ;Sali
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Carsamba
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Carsamba
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Carsamba
BAH002;120.01.104.0004;BOBS MCHJ;Carsamba
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Persembe
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Persembe
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Persembe
BAH002;120.01.104.0004;BOBS MCHJ;Persembe
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Cuma
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Cuma
BAH002;120.01.108.0001;RAXIMOV ARSLAN AYBEKOVICH;Cuma
BAH002;120.01.104.0004;BOBS MCHJ;Cuma
BAH002;120.01.104.0002;BEST OPTOM SERVIS MCHJ;Carsamba
BRD000;120.01.103.0293;SOY FLORA TEST JDE;Sali
DMF001;120.01.108.0248;APTECHKA PHARM MCHJ ;Pazartesi
DMF001;120.01.102.0165;OOO PROSPERITI-FARM ;Pazartesi
